Name,Real Name,Current Alias,Aliases,Identity,Alignment,Affiliation,Relatives,Universe,Gender,Height,Weight,Eyes,Hair,Marital Status,Origin,Creators,First appearance,Year
Bryan Glass,Bryan Glass,,Senator Glass; Senator Thomas,No Dual,Neutral,,Unnamed Wife,Earth-616,Male,,,Brown,Brown,Married,,"Michael Avon Oeming,  Mel Rubi",Spider-Man/Red Sonja   #1,
Brynjar,Brynjar,,,No Dual,Neutral,,Bjorn (father; deceased)Unnamed Mother (mother)Bjarte (brother; deceased),Earth-818793,Male,,,,Blonde,Single,,"Kevin McCarthy,  Johnny Desjardins","Red Sonja  #50(June, 2010)",2010
Eaglet,Bud Pierce,Eaglet,,,Good,Inheritors,,Earth-818793,Male,,,,,Single,,,Unknown,
Buford King,Buford King,,,,Bad,,"Ernest Fairchild (adoptive son), Eunice King (wife; deceased)",Chaos! Universe,Male,,,Brown,Brown,Widowed,Human,"Jesse Blaze Snider,  Jason Craig","Evil Ernie  #1(October, 2012)",2012
The Dart,Caius Martius,The Dart,Caius Wheeler,,Good,Team Superpowers,,Earth-818793,Male,,,,Red,Single,,Louis Cazeneuve,"Project Superpowers  #0(January, 2008)",2008
Rocketman,Cal Martin,Rocketman,,Secret,Good,Team Superpowers,,Earth-818793,Male,,,,,Engaged,,,Unknown,
Empress Camilla,Camilla,Empress Camilla,,Public,Bad,,,Earth-818793,Female,,,,Blonde,Single,,"Fletcher Hanks,  Erik Mona,  Jonathan Lau",Pathfinder: Worldscape  #1(2016),2016
Candace,Candace,,,No Dual,Neutral,,,Earth-818793,Female,,,,Black,Single,,,Unknown,
Captain Brittles,Brittles,Captain Brittles,,,Neutral,,,Earth-UU008,Male,,,,,,,Arvid Nelson,Unknown,
Captain Courageous,Unknown,Captain Courageous,,Secret,Good,"Team Superpowers, Super-Mysterymen",,Earth-818793,Male,,,,,Single,,,"Project Superpowers  #0(January, 2008)",2008
Ferox,Ferox,,,No Dual,Neutral,Madam Figly,,Earth-UU017,Male,,,,Blonde,,,"Gail Simone,  Walter Geovani","Red Sonja Vol 2  #9(April, 2014)",2014
Captain Mason,Mason,Captain Mason,,No Dual,Good,Gower; Jana Sky-Born; Mike Mize; Togg,,Earth-818793,Male,,,Blue,Brown,,,"Frank Cho,  Doug Murray,  Adriano Batista",Jungle Girl  Vol 2 #2,
Nemo,Nemo,,Captain Nemo,No Dual,Neutral,formerly Sonja; Victor,,Legenderry,Male,,,,Black,,Undead,"Jules Verne,  Marc Andreyko,  Aneke","Legenderry: Red Sonja  #2(March, 2015)",2015
Captain Valtus,Valtus,Captain Valtus,,Public,Neutral,Lord Pravus,,Earth-818793,Male,,,,Black,,,"Nancy A. Collins,  Fritz Casas","Red Sonja: Berserker  #1(February, 2014)",2014
Captain Victory,Unknown,Captain Victory,,Public,Good,Galactic Rangers,Blackmass (grandfather),Kirby Genesis,Male,,,,Blonde,,,Jack Kirby,Kirby: Genesis  #1(2011),2011
Carl Boeddeker,Carl Boeddeker,,,No Dual,Neutral,Internal Affairs,,Earth-UU006,Male,,,,Bald,,,"Al Ewing,  Kewber Baal","Jennifer Blood  #19(October, 2012)",2012
Carlos,Carlos,,,No Dual,Neutral,,,Earth-UU017,Male,,,,,,,"Amy Chu,  Carlos Gomez","Red Sonja Vol 4  #2(February, 2017)",2017
Captain Marvel,Carol Susan Jane Danvers,Captain Marvel,Ms. Marvel; Binary; Warbird; Carol Danvers; Major Danvers; Venom,Public,Good,formerly Avengers; NASA; US Air Force,Venom (former symbiote),Earth-616,Female,"5'  1""""",124  lbs (56 kg),Blue,Blonde,Single,,"Roy Thomas,  Gene Colan",Avengers/Invaders   #2,
Carole Ross,Carole Ross,,,No Dual,Bad,TJ; Sky,,Earth-818793,Female,,,Green,Blonde,Single,,"Frank Cho,  Doug Murray,  Adriano Batista",Jungle Girl   #1,
Carrion Jane,Jane Bennett,Carrion Jane,,Public,Bad,Lady Hel (Chaos! Universe),,Chaos! Universe,Female,,,Green,Blonde,Single,,Tim Seeley,Evil Ernie  Vol 2 #1,
Carthoris,Carthoris,,,No Dual,Good,John Carter; Dejah Thoris,Tardos Mors & Hath (great grandfathers)Mors Kajak (grandfather)Heru (grandmother; deceased)Kajak Thoris (uncle)Dejah Thoris (mother)John Carter (father)Dejah Carter (sister),Earth-UU008,Male,,,Blue,Black,Single,Alien/Human hybrid,Edgar Rice Burroughs,Unknown,
Cassie Hack,Cassandra Hack,,Cassie Hack,Public,,"Vlad, Ash Williams (Formely)",Delilah Hack (mother),Earth-818793,Female,,,Blue,Black,,,Tim Seeley,"Hack/Slash/Eva: Monster's Ball  #1(May, 2011)",2011
Cecil Clayton,William Cecil Clayton,Cecil Clayton,,No Dual,Neutral,,John Clayton III (cousin),Earth-UU008,Male,,,Brown,Black,,,"Edgar Rice Burroughs,  Arvid Nelson,  Roberto Castro",Lord Of The Jungle   #2,
Captain Chandler,Chandler,Captain Chandler,,,Bad,,,Earth-818793,Male,,,,,,,,Unknown,
Chaos,Chaos,,Mad God Chaos,No Dual,Bad,,Nyx (daughter),Earth-818793,Male,,,,No Hair,,,,Vampirella  #8(2011),2011
Lucky Luciano,Charles Luciano (born Salvatore Lucania),Lucky Luciano,,No Dual,Bad,National Crime Syndicate,,Earth-818793,Male,,,,Black,,,"Rob Williams,  Jackson Herbert",Unknown,
Charles Milles Maddox,Charles Milles Maddox,,Charlie,Public,Bad,The Manson Family,,Earth-818793,Male,,,,Black,,,,"Army of Darkness  #13(January, 2007)",2007
Charley,Charles Snow,Charley,,No Dual,Neutral,formerly Daily Bugle,,Earth-616,Male,,,,White,,,"Chris Claremont,  John Byrne",Spider-Man/Red Sonja (TPB)  #1(2008),2008
Charon,Charon,,,No Dual,Neutral,,,Earth-818793,Male,,,,,,Undead,,Unknown,
Chastity,Chastity Marks,Chastity,,,Good,"The Council of Vampires[1]
 Prince Charming's Harem (formerly)",Jason Marks (father; deceased)Olivia Marks (mother; deceased) Candy Marks (Aunt) Raymond Marks (brother; deceased),Chaos! Universe,Female,,,Red,Red,Single,Hybrid,"Tim Seeley,  Brian Pulido","Chaos!  #1(May, 2014)",2014
Chelsea Buwick,Chelsea Hotel in the Rain Vale-Buwick,Chelsea Buwick,Taki,,Bad,Ninjettes,Mason Buwick (father; deceased)Cilla Vale (mother; deceased),Earth-UU006,Female,,,,Black,Single,,"Garth Ennis,  Adriano Batista",Jennifer Blood   #3,
Cheryl Williams,Unknown,,,Public,Bad,,Ash Williams (brother)Brock Williams (father)James Williams (grandfather)Kent Williams (uncle),Earth-818793,Female,,,,,,,Sam Raimi,Unknown,
The Sword,Chic Carter,The Sword,,Secret,Good,"The Project, Team Blue",,Plural World 8130,Male,,,,Blonde,Single,,"Dan Abnett,  Jonathan Lau","Red Sonja: The Super Powers  #1(January, 2021)",2021
Chief of the Dirt People,Unknown,Chief of the Dirt People,,,Bad,Dirt Tribe,,Earth-818793,Male,,,Brown,Brown,,,"Frank Cho,  Doug Murray,  Adriano Batista",Jungle Girl   #3,
Chuck,Chuck,,,No Dual,Good,formerly Adolescent Radioactive Black Belt Hamsters,,Earth-UU013,Male,,,,", Brown fur",,Mutant,"Don Chin,  Patrick Parsons,  Keith Champagne,  Tom Nguyen","Adolescent Radioactive Black Belt Hamsters  #3(March, 2008)",2008
Churple Rottooth,Churple Rottooth,,Chief Churple Rottooth,No Dual,Bad,,,Pathfinder,Male,,,Red,No Hair,,Goblin,"Paul Allor,  Adam Moore",Pathfinder: Goblins  #5(2013),2013
Cilla Vale,Cilla Vale,,,No Dual,Bad,Nate Lazarr,Mason Buwick (ex-husband; deceased)Chelsea Buwick (daughter; deceased),Earth-UU006,Female,,,Brown,Brown,Divorced,,,Unknown,
Chief O'Hara,Clancy O'Hara,Chief O'Hara,,No Dual,Good,GCPD,,Batman '66 Universe,Male,,,Blue,Gray,Married,,"William Dozier,  Robert Butler,  Lorenzo Semple Jr.",Batman '66 Meets The Green Hornet   #1,
Clark,Clark,,,No Dual,Neutral,,,Earth-616,Male,,,,Black,,,"Jerry Siegel,  Joe Shuster,  Chris Claremont,  John Byrne",Spider-Man/Red Sonja (TPB)  #1(2008),2008
The Claw,Unknown,The Claw,God of Hate,,Bad,Nazi Ally,,Earth-818793,Male,,,,,,,,"Project Superpowers  #0(January, 2008)",2008
Man of War,Clay Carter,Man of War,,Secret,,Patriots,,Earth-818793,Male,,,,,Single,,,"Project Superpowers  #0(January, 2008)",2008
Clint,Clint,,,No Dual,Good,formerly Adolescent Radioactive Black Belt Hamsters,Martha (wife)Richard (son),Earth-UU013,Male,,,,,Married,Mutant,"Don Chin,  Patrick Parsons,  Keith Champagne,  Tom Nguyen",Unknown,
Clutch,Clutch Kato,Clutch,,No Dual,Good,Green Hornet,Kato (uncle)Sayomi Kato (aunt; deceased)Mulan Kato (cousin),,Male,,,,Blonde,,,,"Green Hornet  #6(August, 2010)",2010
Clysmos,Clysmos,,,No Dual,Neutral,Tus,Pravus (uncle),Earth-818793,Male,,,,Brown,Single,,,"Red Sonja: Berserker  #1(February, 2014)",2014
Cold Snap,Unknown,Cold Snap,,,,"G-Force, G-Men",,Earth-UU011,Male,,,,,Single,,,The Boys   #24,
Conan of Cimmeria,Conan,Conan of Cimmeria,Conan the Barbarian; Conan the Cimmerian; King Conan; Conan the King; Conan the Destroyer; Conan the Renegade; Conan the Punisher; Amra,No Dual,Neutral,Red Sonja,,Earth-616,Male,"6' 4""""",265 lbs (120 kg),Blue,Black,Widowed,,"Robert E. Howard,  Roy Thomas,  Barry Windsor-Smith","Adventures of Red Sonja (TPB)  #1(January, 2005)",2005
Conrad Van Helsing,Conrad Van Helsing,,,No Dual,Good,,Adam Van Helsing (son),Earth-818793,Male,,,,,,,,Unknown,
Councilman Valoris,Valoris,Councilman Valoris,,No Dual,Bad,,,Earth-UU008,Male,,,,"Bald, Black facial hair",,Alien,"Frank J. Barbiere,  Francesco Manna","Dejah Thoris  #1(February, 2016)",2016
Country Mama,Unknown,Country Mama,,,Bad,Team Titanic,,Earth-UU011,Female,,,,Blond,,,"Garth Ennis,  Russell Braun","The Boys  #61(December, 2011)",2011
The Hood,Craig Williams,The Hood,,Secret,Good,Team Superpowers,,Earth-818793,Male,,,,,Single,,,"Project Superpowers  #0(January, 2008)",2008
Cremator (Chaos! Universe),Cremator,Cremator (Chaos! Universe),,,Bad,"Lady Hel (Chaos! Universe), Sakkara (Chaos! Universe), Lucifer Morning Star (Chaos! Universe)",,Chaos! Universe,Male,,,Yellow,Unknown,Single,,Brian Pulido,Purgatori   #1,
Crimson Countess,Unknown,Crimson Countess,,,,Payback,,Earth-UU011,Female,,,,,,,,The Boys: Herogasm   #1,
Critter,Unknown,Critter,,,,G-Men,,Earth-UU011,Male,,,,,Single,,,The Boys   #24,
Lizard,Curtis Connors,Lizard,Curt Connors; Dr. Curt Connors,Public,Neutral,formerly Sinister Six,,Earth-616,Male,"5' 11""""",175 lbs (80 kg),Blue,Brown,Widowed,Mutate,"Stan Lee,  Steve Ditko",Spider-Man/Red Sonja   #3,
Cuvar,Cuvar,,,No Dual,Neutral,,,Earth-818793,Male,,,,Gray,,,,"Red Sonja: Berserker  #1(February, 2014)",2014
Dak Kova,Dak Kova,,,No Dual,Neutral,Warhoons,,Earth-UU008,Male,,,White,No Hair,,Alien,"Edgar Rice Burroughs,  Arvid Nelson,  Rafael Lanhellas",Unknown,
Dalen,Dalen,,,No Dual,Neutral,,Zan'te (wife)Zo (daughter),Earth-UU008,Male,,,Brown,Black,Married,Alien,"Robert Place Napton,  Marcio Fiorito","Warlord of Mars: Dejah Thoris  #15(September, 2012)",2012
Damiel Morgethai,Damiel Morgethai,,,No Dual,Neutral,,,Pathfinder,Male,,,,Blonde,,,,Unknown,
Blue Beetle,Dan Garret,Blue Beetle,,,Good,Team Superpowers,,Earth-818793,Male,,,,,Single,,"Will Eisner,  Charles Nicholas","Project Superpowers  #0(January, 2008)",2008
Dr. Dan Obert,Dan Obert,Dr. Dan Obert,,No Dual,Bad,,,Earth-UU019,Male,,,Blue,Blonde,,,"David Avallone,  Colton Worley","Bettie Page  #1(July, 2017)",2017
Supermind's Son,Dan Warren,Supermind's Son,Professor Supermind & Son,Secret,Good,Team Superpowers,Professor Warren (father),Earth-818793,Male,,,,,Single,,,Unknown,
Daniel Jackson,Daniel Jackson,,Arrom,No Dual,Good,,Nick Ballard (grandfather)Melburn Jackson (father)Claire Jackson (mother)Sha're (wife; deceased)Shifu (step-son)Skaara (brother-in-law)Kasuf (father-in-law),Earth-UU012,Male,,,,Brown,Widowed,,"Roland Emmerich,  Dean Devlin","Stargate: Daniel Jackson  #1(July, 2010)",2010
Daniel Reid Junior,Daniel Reid Junior,,Dan,Public,,The Lone Ranger,Dan Reid Sr. (father; deceased)Linda Reid (mother; deceased)John Reid (uncle; deceased)Britt Reid Sr. (son; deceased)Britt Reid Jr. (grandson),Earth-818793,Male,,,Blue,"Red, Blonde (as a child)",,,,"The Lone Ranger  #5(March, 2007)",2007
Mr. Raven,Daniel Dartin,Mr. Raven,"The Raven, Danny Dartin",Secret,Good,Super-Mysterymen,,Earth-818793,Male,,,,,Single,,,"Project Superpowers  #0(January, 2008)",2008
Rip,Daniel McCarthy,Rip,,Secret,Good,The Chosen (Chaos! Universe),,Chaos! Universe,Male,,,Green,Red,Single,,Brian Pulido,"Chaos!  #1(May, 2014)",2014
Danser Dervish,Dervish,Danser Dervish,,No Dual,Good,Danse Macabre; Vampirella,,Earth-818793,Male,,,Green,Black,,,"Tom Sniegoski,  Buzz",Vengeance of Vampirella   #2,
Daphne,Daphne,,,No Dual,Neutral,,Unnamed HusbandJonathan (son)Unnamed Daughter,Earth-818793,Female,,,,Red,Married,,"Garth Ennis,  Aaron Campbell","The Shadow  #1(April, 2012)",2012
Daphne's Daughter (Earth-818793),Unknown,,,No Dual,Neutral,,Daphne (mother)Unnamed Father (father)Jonathan (brother),Earth-818793,Female,,,,Blonde,,,"Garth Ennis,  Aaron Campbell","The Shadow  #1(April, 2012)",2012
Daphne's Husband (Earth-818793),Unknown,,,No Dual,Neutral,,Daphne (Wife)Jonathan (son)Unnamed Daughter,Earth-818793,Male,,,,Blonde,Married,,"Garth Ennis,  Aaron Campbell","The Shadow  #1(April, 2012)",2012
Dave Brown,Dave Brown,,,Secret,Good,The Targeteers,,Earth-818793,Male,,,,,Single,,Dick Briefer,"Project Superpowers  #0(January, 2008)",2008
Davey,Davey Landis,Davey,,,Good,Inheritors,,Earth-818793,Male,,,,Black,Single,,,Unknown,
David,David (full name unknown),David,,,Good,,,Earth-818793,Male,,,,,Single,,,"Project Superpowers  #0(January, 2008)",2008
David Lapine,David Lapine,David Lapine,,Secret,Good,"New York City Police department, Chastity Marks (Chaos! Universe) (Ally)",,Chaos! Universe,Male,,,Black,Brown,Single,,"Marc Andreyko, Dave Acosta",Chastity   #2,
Man-Cat,David Merryweather,Man-Cat,"Man-Cat, Cat-Man, Catman",Secret,Good,,,Earth-818793,Male,,,,,Single,,"Irwin Hasen,  Alex Ross,  Jim Krueger","Project Superpowers  #0(January, 2008)",2008
De Moire,De Moire,,,No Dual,Bad,Gannus; Kelgeth,,Earth-818793,Male,,,,Black,,,"Fletcher Hanks,  Erik Mona,  Jonathan Lau",Pathfinder: Worldscape  #1(2016),2016
Death,Unknown,Death,,Public,Bad,Four Horsemen of The Apocalypse,,Earth-818793,Male,,,No Eyes,No Hair,,,,Unknown,
The Deep,Unknown,The Deep,,,Neutral,Formerly The Seven,,Earth-UU011,Male,,,,,,,,The Boys  #4,
Dejah Thoris,Dejah Thoris,,Princess of Mars; Larka; Princess of Barsoom; Queen of Helium,No Dual,Good,John Carter; Tars Tarkas; Thana,Hath (maternal grandfather)Tardos Mors (paternal grandfather)Mors Kajak (father)Heru (mother; deceased)Kajak Thoris (brother)John Carter (husband)Carthoris (son)Dejah Carter (daughter),Earth-UU008,Female,,,Blue,Black,Married,Alien,Edgar Rice Burroughs,Unknown,
Delucia,Delucia,,,No Dual,Neutral,,,Earth-818793,Male,,,,,,,,Unknown,
Derrick,Derrick,,,No Dual,Neutral,The Shadow Network,,Earth-UU042,Male,,,Brown,Bald,,,"David Liss,  Colton Worley","The Shadow Now  #2(October, 2013)",2013
Desmond,Desmond,,,No Dual,Neutral,,Ander (son),Earth-818793,Male,,,,Gray,,,"J.T. Krul,  Noah Salonga",Red Sonja   #7,
Devil,Devil,,,No Dual,Good,Kit Walker Jr.; Heroformerly Kit Walker Sr.,,,Male,,,Green,", White Fur",,,Lee Falk,Unknown,
Masquerade,Diana Adams,Masquerade,Miss Masque,Secret,Good,Team Superpowers; Scarlet Sisters,Martin Adams (brother; deceased),Earth-818793,Female,,,,Blonde,Dating,,"Alex Ross,  Jim Krueger","Project Superpowers  #0(January, 2008) (as Miss Masque) 

Project Superpowers  #3(2008)
 (as Masquerade)",2008
Diana Palmer,Diana Palmer,,Diana Walker; Diana Palmer-Walker,No Dual,Good,formerly United Nations,Kit Walker Sr. (husband)Kit Walker Jr. (son)Heloise Walker (daughter)Radhi Walker (daughter-in-law; deceased)Mosi Walker (grandson; deceased),Earth-818793,Female,,,Brown,Black,Married,,Lee Falk,Unknown,
Doodle,Dick Walters,Doodle,,Secret,Good,Inheritors,"Walt Walters (father), Rick Walters (brother)",Earth-818793,Male,,,,Black,Single,,Paul Norris,Unknown,
The Divine,Unknown,The Divine,,,,G-Men,,Earth-UU011,Male,,,,,Single,,Garth Ennis,The Boys   #24,
Dixie Fattoni,Dixie Fattoni,,,No Dual,Neutral,,Don Fattoni (father; deceased)Pixie Fattoni (sister; deceased),Earth-818793,Female,,,,Brown,,,"Grant Morrison,  Mark Millar,  Amanda Conner",Vampirella (Harris)   #1,
Dmitry,Dmitry,,,No Dual,Neutral,,,Earth-UU042,Male,,,,Black,,,"David Liss,  Colton Worley","The Shadow Now  #2(October, 2013)",2013
Doctor Creepy,Unknown,Doctor Creepy,Dr. Creepy,,Bad,Killroy Styx,,,Male,,,,Grey,,,"Jai Nitz,  Jethro Morales",Green Hornet: Legacy  #36,
Doctor Hate (Earth-UU059),Unknown,,,Public,Good,The BrigadeMurderer's Row (formerly),,Earth-UU059,Male,,,Yellow,,Single,,,"The Switch: Electricia (HC)  #1(July, 2018)",2018
Doctor Moreau,Moreau,Doctor Moreau,,No Dual,Neutral,,,Legenderry,Male,,,,,,,H. G. Wells,Unknown,
Doctor Woychek,Woychek,Doctor Woychek,,No Dual,Neutral,,,Legenderry,Male,,,,Gray,,,,Unknown,
Dogknott,Unknown,Dogknott,,,,Teenage Kix,,Earth-UU011,Male,,,,,,,,"The Boys (TPB)  #1(May, 2007)",2007
Zorro,Don Diego de la Vega,Zorro,,Secret,Good,,Alejandro de la Vega (father)Regina de la Vega (mother)Rafael Vega (possible descendant),Earth-818793,Male,,,,Black,,,Johnston McCulley,"Zorro  #1(February, 2008)",2008
Don Fattoni,Fattoni,Don Fattoni,,No Dual,Neutral,,Dixie Fattoni & Pixie Fattoni (daughters; deceased),Earth-818793,Male,,,,"Gray, Balding",,,"Grant Morrison,  Mark Millar,  Amanda Conner",Vampirella (Harris)   #1,
Domino,Don Tracy,Domino,,Secret,Good,Inheritors,,Earth-818793,Male,,,,,Single,,,Unknown,
Reverend Donald Soaplake,Donald Soaplake,Reverend Donald Soaplake,,No Dual,Neutral,,,Earth-818793,Male,,,,Bald,,,"Eric Trautmann,  Fabiano Neves",Vampirella  #8(2011),2011
Dorian Gray,Dorian Gray,,,No Dual,,,,Earth-818793,Male,,,,,,,Oscar Wilde,Unknown,
Rocketgirl,Doris Dalton,Rocketgirl,,Secret,Good,Team Superpowers,,Earth-818793,Female,,,,,Engaged,,,Unknown,
Dr. Marsh,Marsh,Dr. Marsh,Mr. Marsh,No Dual,Bad,Mer-Men; formerly Captain Mason; Gower; Jamison,,Earth-818793,Male,,,No Eyes,"Gray, formerly Blonde",,Mutate,"Frank Cho,  Doug Murray,  Adriano Batista",Jungle Girl  Vol 2 #2,
Dracula,Vlad Tepes,Dracula,Vlad the Impaler; Vlad Tepes,Public,Neutral,formerly Dracula's Team; Cult of Chaos,"Irina, Ayisha & Mei Ling (wives; deceased)Eva (daughter)",Earth-818793,Male,"6' 5""""",220  lbs (100 kg),Black,Black,Widowed,Vampire,Bram Stoker,Monster War   #1,
Air-Man,Drake Stevens,Air-Man,,,Good,Team Superpowers,Professor Claude Stevens (Father),Earth-818793,Male,,,,,Single,,,"Project Superpowers  #0(January, 2008)",2008
Droogami,Droogami,,,No Dual,Neutral,Lini,,Pathfinder,,,,,", Gray fur",,,,Unknown,
Dry-Hump,Unknown,Dry-Hump,,,Bad,Team Titanic,,Earth-UU011,Male,,,,,Single,,"Garth Ennis,  Russell Braun","The Boys  #61(December, 2011)",2011
Duke Wylie,Duke Wylie,,,No Dual,Neutral,NYPD; Red Team,,Earth-UU009,Male,,,Brown,Brown,,,"Garth Ennis,  Craig Cermak",Red Team   #1,
